,job_id,job_title,company_name,location
0,3736292637,Data Analyst / Anwendungsentwickler (m/w/d),ROCKEN®,"Winterthur, Zürih, İsviçre"
1,3736085804,Data analyst,Randstad Switzerland,"Ticino kantonu, İsviçre (Hybrid)"
2,3710958246,Data Analyst (w/m/d) 80 – 100%,addexpert GmbH,"Winterthur, Zürih, İsviçre (Hybrid)"
3,3733335466,Data Analyst / Analytics Engineer (a) 80 - 100 %,CH Media,"Aarau, Aargau kantonu, İsviçre (İş yerinde)"
4,3736552644,Data + Analytics Consultant,TieTalent,"Bern, Bern, İsviçre (İş yerinde)"
5,3693393798,Head of Data Analyst,Vinivia AG,"Zug, Zug, İsviçre (Uzaktan)"
6,3736546977,Senior Digital Analytics Consultant,TieTalent,"Zürih, Zürih, İsviçre (İş yerinde)"
7,3725123134,Data Strategy Operations Analyst,Springbuk,"Fully, Valais kantonu, İsviçre (Uzaktan)"
8,3738523362,"Data Analyst Intern at Operations Performance Management (limited 6 months,100%, all genders)",Swiss International Air Lines,"Kloten, Zürih, İsviçre"
9,3736553424,Digital Data Analyst,TieTalent,"Basel, Basel-Stadt kantonu, İsviçre (İş yerinde)"
10,3736554599,Data Analyst,TieTalent,"Zürih, Zürih, İsviçre (İş yerinde)"
11,3741708987,Data/Application Analyst & Manager 80-100% (m/w),yellowshark® AG,"Zürih, Zürih, İsviçre (İş yerinde)"
12,3715641401,Data Analyst H/F/X,Robert Walters,"Renens, Vaud, İsviçre (Hybrid)"
13,3734482067,Technology Analyst / (Senior) Consultant Data Analytics & Data Science 80-100% (m/f/d) in Zurich,BearingPoint,"Zürih, Zürih, İsviçre (İş yerinde)"
14,3402129076,Consultant senior en analyse de données et en big data (m/w/d),Eraneos Switzerland,"Lozan, Vaud, İsviçre (İş yerinde)"
15,3661362833,Chef de Projet Supply-Chain Industriel et Data Analyst F/H,Antaes Consulting,"Cenevre, Cenevre kantonu, İsviçre (İş yerinde)"
16,3736270183,Data Analyst / Dashboard Developer Operations (80-100%),Climeworks,"Zürih, Zürih, İsviçre (Hybrid)"
17,3737099760,Data Analyst,WeRoad,"Avrupa, Ortadoğu ve Afrika (Uzaktan)"
18,3725572140,Data Analyst,Evooq,"Lozan, Vaud, İsviçre (Hybrid)"
19,3692502328,Data Analyst,Quadcode,"Avrupa, Ortadoğu ve Afrika (Uzaktan)"
20,3740032139,Applications and Data analyst,World Trade Organization,"Cenevre, Cenevre kantonu, İsviçre (İş yerinde)"
21,3741927912,Data Analyst - Semantic Models intern,Philip Morris International,"Lozan, Vaud, İsviçre (İş yerinde)"
22,3732822455,Wirtschaftsinformatik-Engineer als ENTWICKLER:IN BUSINESS INTELLIGENCE 80-100%,Fenner Recruiting Solutions,"Zürih, Zürih, İsviçre (İş yerinde)"
23,3741929494,Data Analysis Intern,Philip Morris International,"Neuchatel, Neuchâtel kantonu, İsviçre (İş yerinde)"
24,3661725804,Data Analyst,"CareMetx, LLC","Fully, Valais kantonu, İsviçre (Uzaktan)"
25,3712808290,"Senior Data Analyst (Bangkok Based, relocation provided)",Agoda,"Basel, Basel-Stadt kantonu, İsviçre"
26,3685360378,Engineer – Analysis Expert • 100%,Sensirion,"Stäfa, Zürih, İsviçre (Hybrid)"
27,3409486775,Crypto Quantitative Analyst,Token Metrics,"Zürih, Zürih, İsviçre (Uzaktan)"
28,3702299847,Data Analyst: in Customer Analytics (m/w/d),Consult & Pepper AG,"Lucerne, İsviçre (İş yerinde)"
29,3741887575,"Data Analyst, Fundraising",Terre des hommes foundation,"Lausanne, Vaud, İsviçre (İş yerinde)"
30,3715489825,#11090 - Data Analyst II,Qualitest,"Zurich, Zürih, İsviçre"
