job_id,job_title,company_name,location
3698385553,(Senior) Data Analyst (m/f/d) - Customer Data,MOIA,"Hamburg, Hamburg, Germany (On-site)"
3722005706,(Junior) Data Analyst / Data Engineer (m/w/d),investify TECH,"Cologne, North Rhine-Westphalia, Germany (On-site)"
3742576257,Data Analyst (m/w/d) - Versicherungsbranche,univativ GmbH,"Stuttgart, Baden-Württemberg, Germany (Hybrid)"
3675706512,Junior Data Analyst (m/w/d) Immobilienwirtschaft,HAMBURG TEAM Investment Management GmbH,"Hamburg, Hamburg, Germany (Hybrid)"
3744217904,"Data Analyst (m/w/d) - The Data School Deutschland, Hamburg",The Information Lab Deutschland,"Hamburg, Hamburg, Germany (On-site)"
3742570972,Data Analyst (m/w/d),Mawave,"Munich, Bavaria, Germany (On-site)"
3741400528,Data Analyst (Business Intelligence) (m/w/d) - Vollzeit/Teilzeit,singularIT GmbH,"Lübeck, Schleswig-Holstein, Germany (Hybrid)"
3729961346,Data Analyst (m/f/d),Project A Ventures,"Hannover, Lower Saxony, Germany (On-site)"
3740318076,(Junior) Data Analyst / Data Engineer (m/w/d),investify TECH,"Cologne, North Rhine-Westphalia, Germany (On-site)"
3736886756,Data Analyst (m/w/d),Grünhorn,"Leipzig, Saxony, Germany (On-site)"
3724299784,Data-Analyst im Bereich Service (m/w/d),SENNEBOGEN,"Straubing, Bavaria, Germany (On-site)"
3731367720,Data Analyst (m/f/d),Hetzner,"Falkenstein, Saxony, Germany (On-site)"
3742284627,Senior Data Scientist / Analyst (m/f/d),Peter Park,"Munich, Bavaria, Germany (On-site)"
3582381366,Young Professional Client Data Analyst (m/f/d) ←,Talentschmiede Unternehmensberatung AG,"Berlin, Berlin, Germany (On-site)"
3737360110,Business Data Analyst (m/w/d) Ferienwohnungen,CHECK24 Vergleichsportal GmbH,"Düsseldorf, North Rhine-Westphalia, Germany (Hybrid)"
3737864625,Data Analyst (m/w/d),rheindata GmbH,"Cologne, North Rhine-Westphalia, Germany (Hybrid)"
3727896816,Data Analyst (m/w/d),Tenhil GmbH & Co. KG,"München, Bavaria, Germany (Hybrid)"
3622091739,Data Analyst (w/m/d) Retail,Cheil Germany GmbH,"Schwalbach, Hesse, Germany (Hybrid)"
3669919383,Data Analyst (m/w/d),accantec group,"Hamburg, Hamburg, Germany (On-site)"
3700447448,Data Analyst (m/w/d) - CRM,Popken Fashion GmbH,"Rastede, Lower Saxony, Germany (On-site)"
3739075438,Data Analyst / Engineer im Bereich Fahrdynamik (m/w/d),ARRK Engineering GmbH,"München, Bavaria, Germany (Hybrid)"
3694298306,(Senior) Data Analyst (m/f/d) - Customer Data,MOIA,"Berlin, Germany (On-site)"
3733833073,Data Analyst (m/w/d),Chemnitz attracts,"Falkenstein, Saxony, Germany (On-site)"
3725024965,(Junior) Data Analyst (m/w/d) Quality Management,Kärcher,"Winnenden, Baden-Württemberg, Germany (Hybrid)"
3740296164,(Senior) Data Analyst (w/m/d), 1&1 Versatel ,"Düsseldorf, North Rhine-Westphalia, Germany (Hybrid)"
3734383044,Data Analyst (m/w/d),Energiekonzepte Deutschland GmbH,"Leipzig, Saxony, Germany (On-site)"
3729912499,Data Analyst (m/w/d),DIS AG,"Taucha, Saxony, Germany (On-site)"
3736281842,Data Analyst / Data Architect (m/f/d),Statista,"Hamburg, Hamburg, Germany (On-site)"
3729834622,Data Analyst (m/w/d) - 221-4422,top itservices AG,"Gütersloh, North Rhine-Westphalia, Germany (On-site)"
3738041019,"BI (Business Intelligence Analyst) - f,m,d",GotPhoto.com | fotograf.de ,"Berlin, Berlin, Germany (Remote)"
3702616946,Future Job Opening - Data Analyst (m/w/d),talentsconnect AG,"Cologne, North Rhine-Westphalia, Germany (On-site)"
3744851190,(Senior) Data Analyst (m/f/d) - Hamburg,Engel & Völkers Technology,"Hamburg, Hamburg, Germany (On-site)"
3665704702,Data Analyst (gn),workidentity GmbH,"Hamburg, Hamburg, Germany (On-site)"
3743438084,Business Data Analyst (m/w/d),LAS Recruitment,"Hagen, North Rhine-Westphalia, Germany (On-site)"
3733574580,Business Intelligence / Data Analyst (m/w/d),TecAlliance,"Grafenrheinfeld, Bavaria, Germany (Remote)"
3742576677,Senior Data Analyst,Gemma Analytics,"Berlin, Berlin, Germany (On-site)"
3724707874,Business Intelligence (BI) Analyst,Robert Half,"Ansbach, Bavaria, Germany (On-site)"
3730420103,Data Analyst*in / Referent*in Reporting Bautechnik (d/m/w),Toll Collect GmbH,"Berlin, Berlin, Germany (On-site)"
3740264671,Data Analyst*in,GP JOULE Consult GmbH & Co. KG,"Augsburg, Bavaria, Germany (Hybrid)"
3736028398,Business Data Analyst (m/w/d),FALKE KGaA,"Düsseldorf, North Rhine-Westphalia, Germany (On-site)"
3744688958,ETL Developer (m/w/d) / Data Analyst (m/w/d),Schmieder GmbH,"Staig, Baden-Württemberg, Germany (Hybrid)"
3703252756,Data Analyst Battery Cell Testing (all genders),PowerCo SE,"Salzgitter, Lower Saxony, Germany (Hybrid)"
3697410259,Junior Sales Data Analyst (m/w/d),Borne Türelemente,Germany (On-site)
3623870607,(Senior) Data Analyst (m/f/d),ExpressGroup,"Hamburg, Hamburg, Germany (On-site)"
3741316100,Data Analyst (m/w/d) im Performance Management,Orizon,"Hamburg, Hamburg, Germany (On-site)"
3744160968,Business Intelligence Analyst (m/w/d),CG Elementum AG,Germany (On-site)
3734126540,Data & Market Analyst im Bereich Einkauf (m/w/d),AGCO GmbH,"Marktoberdorf, Bavaria, Germany (On-site)"
3736694551,Digital Data Analyst (m/w/d) #8145,Foxio Consulting GmbH,"Künzelsau, Baden-Württemberg, Germany (Hybrid)"
3739086040,(Senior) Data Analyst / Market Research Analyst (m/w/d),ARAG,"Düsseldorf, North Rhine-Westphalia, Germany (On-site)"
3719158930,Junior Consultant (m/w/d) Data & Analytics,Windhoff Group,"Gescher, North Rhine-Westphalia, Germany (On-site)"
3739080108,Junior Data-Analyst*in Logistik & Produktion,Libri GmbH,"Bad Hersfeld, Hesse, Germany (On-site)"
3743718055,Data Analyst (m/w/d) CRM Management,Blue Incite GmbH,"Munich, Bavaria, Germany (Hybrid)"
3674412232,Data Analyst / Engineer im Bereich Fahrdynamik (m/w/d),ARRK Engineering GmbH,"Munich, Bavaria, Germany (Hybrid)"
3739234847,Data Analyst (m/w/d) Digitale Kanäle eCommerce,Kärcher,"Winnenden, Baden-Württemberg, Germany (Hybrid)"
3743674422,Datenanalyst (gn),Manpower Professional Deutschland,"Frankfurt am Main, Hesse, Germany (On-site)"
3731377017,Data Scientist/ Business Analyst (m/w/d),E.ON,"Fürstenwalde, Brandenburg, Germany (Hybrid)"
3734730822,Data Analyst - Product Creation (all genders),Native Instruments,"Berlin, Germany (On-site)"
3622515179,Data Research & Analysis (m/w/d),Total Fansports GmbH,"Saarburg, Rhineland-Palatinate, Germany (On-site)"
3744747951,Business Data Analyst (m/f/d),Bentley,"Hechingen, Baden-Württemberg, Germany (On-site)"
3741834970,(Junior) Data Analyst (m/w/d) - Brand Relations & Retail Media,ABOUT YOU,"Hamburg, Hamburg, Germany (On-site)"
